ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:46,-0.041595,-0.043862,-0.008211,4293.757324,17382.65625,-0.559798,0.086769
2_2_2023 20:6:46,-0.041595,-0.043862,-0.008211,4293.725586,17382.65625,-0.559798,0.086769
2_2_2023 20:6:46,-0.041595,-0.043862,-0.008211,4293.725586,17382.6543,-0.559798,0.086769
2_2_2023 20:6:46,-0.041595,-0.043862,-0.008211,4293.725586,17382.6543,-0.563263,0.086769
2_2_2023 20:6:46,-0.041595,-0.043862,-0.008211,4293.725586,17382.6543,-0.563263,0.056974
2_2_2023 20:6:47,0.015462,-0.043862,-0.008211,4293.725586,17382.6543,-0.563263,0.056974
2_2_2023 20:6:47,0.015462,-0.050145,-0.008211,4293.725586,17382.6543,-0.563263,0.056974
2_2_2023 20:6:47,0.015462,-0.050145,-0.005015,4293.725586,17382.6543,-0.563263,0.056974
2_2_2023 20:6:47,0.015462,-0.050145,-0.005015,4293.693359,17382.6543,-0.563263,0.056974
2_2_2023 20:6:47,0.015462,-0.050145,-0.005015,4293.693359,17382.6543,-0.563596,0.056974
2_2_2023 20:6:47,0.015462,-0.050145,-0.005015,4293.693359,17382.6543,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,-0.050145,-0.005015,4293.693359,17382.6543,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.005015,4293.693359,17382.6543,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.022024,4293.693359,17382.6543,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.022024,4293.661133,17382.6543,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.022024,4293.661133,17382.66211,-0.563596,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.022024,4293.661133,17382.66211,-0.562809,0.049794
2_2_2023 20:6:48,0.089941,0.02994,-0.022024,4293.661133,17382.66211,-0.562809,0.064409
2_2_2023 20:6:49,-0.005005,0.02994,-0.022024,4293.661133,17382.66211,-0.562809,0.064409
2_2_2023 20:6:49,-0.005005,0.006414,-0.022024,4293.661133,17382.66211,-0.562809,0.064409
2_2_2023 20:6:49,-0.005005,0.006414,-0.021694,4293.661133,17382.66211,-0.562809,0.064409
